System,Run,Experiment_Name,Method,Score_Type,B_add,gamma,tau_dom,Time_sec,Iter_1_Energy,Iter_1_Error,Iter_2_Energy,Iter_2_Error,Iter_3_Energy,Iter_3_Error,Iter_4_Energy,Iter_4_Error,Iter_5_Energy,Iter_5_Error,Iter_6_Energy,Iter_6_Error,Iter_7_Energy,Iter_7_Error,Iter_8_Energy,Iter_8_Error,Iter_9_Energy,Iter_9_Error,Iter_10_Energy,Iter_10_Error,Iter_11_Energy,Iter_11_Error,Iter_12_Energy,Iter_12_Error,Iter_13_Energy,Iter_13_Error,Iter_14_Energy,Iter_14_Error,Iter_15_Energy,Iter_15_Error,Iter_16_Energy,Iter_16_Error,Iter_17_Energy,Iter_17_Error,Iter_18_Energy,Iter_18_Error,Iter_19_Energy,Iter_19_Error,Iter_20_Energy,Iter_20_Error
pb2,run01.json,B_add_1200,AS-SQD,ABC,1200,1.0,0.001,0.4344749450683594,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,B_add_200,AS-SQD,ABC,200,1.0,0.001,0.3483610153198242,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Proposed_Baseline(ABC),AS-SQD,ABC,600,1.0,0.001,0.3392519950866699,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Score_A,AS-SQD,A,600,1.0,0.001,0.38783788681030273,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Score_AB,AS-SQD,AB,600,1.0,0.001,0.334644079208374,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Score_AC,AS-SQD,AC,600,1.0,0.001,0.389009952545166,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Score_B,AS-SQD,B,600,1.0,0.001,0.32471394538879395,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Score_BC,AS-SQD,BC,600,1.0,0.001,0.3172926902770996,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Score_C,AS-SQD,C,600,1.0,0.001,0.31568384170532227,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,Standard_SQD,Standard_SQD,N/A,N/A,N/A,N/A,0.2560610771179199,-4317.381119227812,1.1784412890847307e-05,-4317.381130493591,5.186338967178017e-07,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012638,4.1382008930668235e-10
