,Time_sec,Time_sec,Time_sec,Time_sec,Iter_1_Error,Iter_1_Error,Iter_1_Error,Iter_1_Error,Iter_2_Error,Iter_2_Error,Iter_2_Error,Iter_2_Error,Iter_3_Error,Iter_3_Error,Iter_3_Error,Iter_3_Error,Iter_4_Error,Iter_4_Error,Iter_4_Error,Iter_4_Error,Iter_5_Error,Iter_5_Error,Iter_5_Error,Iter_5_Error,Iter_6_Error,Iter_6_Error,Iter_6_Error,Iter_6_Error,Iter_7_Error,Iter_7_Error,Iter_7_Error,Iter_7_Error,Iter_8_Error,Iter_8_Error,Iter_8_Error,Iter_8_Error,Iter_9_Error,Iter_9_Error,Iter_9_Error,Iter_9_Error,Iter_10_Error,Iter_10_Error,Iter_10_Error,Iter_10_Error,Iter_11_Error,Iter_11_Error,Iter_11_Error,Iter_11_Error,Iter_12_Error,Iter_12_Error,Iter_12_Error,Iter_12_Error,Iter_13_Error,Iter_13_Error,Iter_13_Error,Iter_13_Error,Iter_14_Error,Iter_14_Error,Iter_14_Error,Iter_14_Error,Iter_15_Error,Iter_15_Error,Iter_15_Error,Iter_15_Error,Iter_16_Error,Iter_16_Error,Iter_16_Error,Iter_16_Error,Iter_17_Error,Iter_17_Error,Iter_17_Error,Iter_17_Error,Iter_18_Error,Iter_18_Error,Iter_18_Error,Iter_18_Error,Iter_19_Error,Iter_19_Error,Iter_19_Error,Iter_19_Error,Iter_20_Error,Iter_20_Error,Iter_20_Error,Iter_20_Error
,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median
Experiment_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_add_1200,45.56830167770386,70.29117357943258,8.383983157153441,43.12254500389099,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.6255296683925735,0.049552879360400974,0.2226047604172044,0.6771829751464793,0.06741997093695318,0.03809499822514109,0.1951794001044708,0.006582917719242687,0.052966504688447456,0.027808303856798333,0.16675821975782285,0.00024350993408006616,0.00045274368867467276,1.1020021695569821e-06,0.0010497629111170684,0.00013494252334567136,1.9328469716128893e-05,2.1273431466516175e-09,4.6123130278111194e-05,4.742836608784273e-06,1.201199820570764e-05,5.28398386416542e-10,2.298691772327343e-05,4.742836608784273e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06,4.739860378322191e-06,4.610605716627119e-14,2.1472321059045105e-07,4.701189936895389e-06
B_add_200,33.667528343200686,132.97760473695902,11.531591596000919,33.607584834098816,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,1.1401155742104492,0.12601092008130987,0.35498016857468234,1.3435968745598075,0.7700788888526404,0.15250783400322637,0.390522514079824,0.7168939354569375,0.6575925252356682,0.18620804766017737,0.43151830512757783,0.639563205041668,0.45666891621240213,0.198529100438947,0.44556604497980656,0.6311578371464748,0.3898536088844594,0.1132107671263393,0.3364680774253916,0.6089418307669803,0.3645568035087308,0.09872800587928893,0.3142101301347379,0.5637916461396344,0.18405118106056761,0.08521001303143834,0.2919075419228464,0.006265635443469364,0.12287710441378294,0.06466117920534724,0.25428562524324344,0.0035349782274352037,0.056246012630072076,0.029792264095150383,0.17260435711519678,0.001047114393713855,0.001257058670034894,4.028704008158545e-06,0.0020071631742732193,0.00032392708544648485,0.0006471270666224882,7.547283906696879e-07,0.0008687510521833558,0.0003101427973888349,0.0003396162483113585,2.2749745554517534e-08,0.00015083018780906405,0.0003006152733178169,0.0002791159591652104,1.3397786677775435e-09,3.660298714282133e-05,0.00028331909197731875,0.00026185017104580767,2.1364020184493673e-09,4.622122908847586e-05,0.00026625444525052444,0.00024083545549729023,3.2720722649351605e-09,5.720203025186397e-05,0.0002537087334530952,0.00021694499591831117,4.242379669798193e-09,6.5133552565465e-05,0.0002410146421425452,0.00019231335536460393,6.5634151321109725e-09,8.101490685121456e-05,0.0002255484992019774,0.00015885556040302619,7.336383257138684e-09,8.56526897250675e-05,0.00019359379621164408,0.00012418645137586283,8.186926724544913e-09,9.048163749924574e-05,0.0001504508181824349
Proposed_Baseline(ABC),39.09975733757019,67.74960455756428,8.231014795124857,36.490742921829224,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.7271768415640508,0.005610442734838969,0.07490288869488926,0.7247443911373921,0.4235388655382849,0.08326076883596253,0.28854942182572907,0.5839742762886999,0.12340431570628425,0.06408330033484871,0.253146796019323,0.005122045389725827,0.06436802732923752,0.040357536044153534,0.20089185161213866,0.00030703691345479456,0.0009023296972372919,4.178518177877092e-06,0.0020441424064573123,0.00025962254403566476,0.00020410900078786652,1.1135760414300263e-09,3.337028680473133e-05,0.00021024428360760794,0.00012446683731468511,3.397670472209254e-09,5.828953998968643e-05,0.00014224141432350734,3.876800792568247e-05,2.897117021525802e-09,5.382487363223254e-05,2.2194228677108185e-05,1.5955655180732718e-05,1.1988330811763573e-09,3.462416903228664e-05,5.065567620476941e-06,5.589185911958339e-06,3.4270226038595496e-12,1.8512219218288092e-06,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06,5.015442729927599e-06,3.473574535862437e-14,1.863752809753063e-07,5.065567620476941e-06
Score_A,36.73442122936249,27.481357023636296,5.242266401437101,37.47132360935211,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.6582315824130092,0.054083521269887365,0.23255864049716013,0.7246935095599838,0.3408359460716383,0.08412429628833813,0.29004188712725293,0.5262115464138333,0.003280125319997751,6.692249866062275e-06,0.0025869383189520145,0.004557854286304064,0.00027699095126081373,9.949251492033991e-10,3.1542434103971733e-05,0.00027344305908627575,0.00023503714091930306,1.0603565517413279e-09,3.256311643165205e-05,0.00023323274353970191,0.0001759536766257952,2.52963179092526e-09,5.029544503158571e-05,0.00017456436307838885,9.40496126531798e-05,2.7669743067778817e-09,5.260203709722544e-05,0.00012291044458834222,1.330096738456632e-05,6.739330226726298e-11,8.209342377271335e-06,1.1433241525082849e-05,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06,5.056452482676832e-06,2.721069084476587e-14,1.6495663322451106e-07,5.071847226645332e-06
Score_AB,38.40654177665711,50.57384979495441,7.11152935696355,36.23217451572418,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.7271795038696837,0.005610999194471057,0.07490660314332147,0.7247443911655864,0.42355620567723234,0.08326993428337864,0.28856530332557073,0.5839744918484939,0.12328799974357026,0.06395405501566742,0.2528913897618253,0.005122041262893617,0.0554077700243397,0.029776304462652423,0.172558119086447,0.00030703691345479456,0.0006282569074755884,1.3869902299107311e-06,0.0011777054937083086,0.00026011378849943867,0.00020376527809276012,1.122615186555081e-09,3.350545010226069e-05,0.0002092271547553537,0.0001246858419108321,3.425527594387016e-09,5.852800692307074e-05,0.00014224027427189867,3.926590161427157e-05,3.0405541308472395e-09,5.514121988900173e-05,2.2155995793582406e-05,1.539303339086473e-05,1.081177471177244e-09,3.288126322356311e-05,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06,5.006062656320864e-06,3.368115527898216e-14,1.8352426346121693e-07,5.0193189053970855e-06
Score_AC,37.278628659248355,44.37511940775764,6.661465259817666,35.78682994842529,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.6670384012770227,0.05631185652843825,0.23730119369366487,0.7246935088146529,0.2917442167727131,0.09117976045544826,0.3019598656368893,0.2769733305444788,0.0027472022600704806,6.749336535077294e-06,0.002597948524331707,0.002413361438357242,0.0002755069591330539,9.77095071953841e-10,3.125851998981783e-05,0.000271435599643155,0.00023407908865920036,1.0379983445573514e-09,3.221798169590006e-05,0.00022988682485447498,0.00017277064125664765,2.429500406535851e-09,4.9289962533317585e-05,0.00017211606245837174,8.579696177548612e-05,2.802575624047285e-09,5.2939357986731244e-05,8.215346406359458e-05,1.099257315217983e-05,6.800507408842658e-11,8.246518907298194e-06,5.237703589955345e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06,5.052409505879041e-06,2.905254783758397e-14,1.7044807959488417e-07,5.0764347179210745e-06
Score_B,150.77786087989807,1096.0887005873055,33.107230337002,143.4554499387741,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.7640961844298545,0.034920936113905246,0.18687144274582257,0.7189070246940901,0.7488669981560634,0.037658537652417355,0.19405807803958422,0.7107481482280491,0.742638176710716,0.038414025428129064,0.19599496276213085,0.6864542365219677,0.7332790650018068,0.03870854526821081,0.19674487355001352,0.6803484391002712,0.7331146227091268,0.039308184889623704,0.19826291859453624,0.6794629243067902,0.7142068567321985,0.04140978657822234,0.20349394727662626,0.6638398445934399,0.7181733097693723,0.0419966495809283,0.20493084097062672,0.659036669406305,0.7076400467956774,0.04242743730360828,0.20597921570781913,0.6533175028107507,0.6965801874554927,0.043386780997385334,0.20829493752221953,0.6435517679528857,0.6939968882832546,0.04368067033125016,0.20899921131729218,0.6401361893717876,0.6910384048185734,0.04404479899836658,0.2098685278891682,0.6380503505311026,0.6856854774449858,0.04466564431466819,0.2113424810932913,0.6312374740377891,0.6942827622962795,0.04232280085183034,0.20572506131201018,0.6306477452776562,0.6925308821775615,0.042519305924501795,0.2062020997092459,0.6301152819537492,0.6903814748739023,0.04040053558966902,0.20099884474710053,0.6299522589788467,0.6349412151482283,0.0005053427512721624,0.02247982987640615,0.6301499617170521,0.6299311373903947,0.0006232447993290374,0.024964871306078017,0.6229974846964978,0.6264853422616398,0.0006159514844286721,0.024818369898699472,0.6203843925450201,0.6179249745261586,0.0015740454679346164,0.03967424186968941,0.6198230954132669
Score_BC,150.12310724258424,1064.8652258812417,32.63227276610138,141.39618492126465,1.4652450773221972,0.0019592079966824485,0.04426294157286034,1.4827214415900016,0.7639439264120483,0.034687383582992254,0.18624549278571081,0.7189070246940901,0.747653376321432,0.036241095401849104,0.190370941589963,0.7107481535081206,0.6874992574500538,0.0024365333542178034,0.049361253572187604,0.6864281649573059,0.6783077124364354,0.0021245726870182773,0.04609308719339894,0.6803961190166774,0.6761743886835575,0.001979604163770889,0.04449274282139604,0.6794628632078457,0.6576157029676324,0.002287451979272623,0.04782731415491176,0.6638398445934399,0.6568365653664842,0.0030407591782011874,0.05514307915052611,0.659036669406305,0.646217242702187,0.0020383903696106747,0.04514853673831163,0.6533168695505083,0.6349344397330242,0.0014733778881635832,0.03838460483271364,0.6435517680401972,0.6315647040958539,0.0013650705707835928,0.03694686144699699,0.6401361893717876,0.6285563053533224,0.001315775329793842,0.03627361754490227,0.6380498744570104,0.6231609481556916,0.0011950738546264064,0.03456984024589073,0.6312770046311016,0.6302586474061173,2.1394469640209648e-05,0.0046254156181049985,0.6306477244365851,0.6284180041434411,2.539702697867514e-05,0.005039546306829131,0.6301152819537492,0.6270329288343419,1.5324255156195178e-05,0.003914620691228612,0.6292539349869912,0.6278263013986362,1.673554269026913e-05,0.004090909763154051,0.6297595261262359,0.622787910441275,5.639309251952437e-05,0.007509533442200279,0.6229970207596125,0.6192758372022581,2.8697396001719412e-05,0.005356995053359618,0.6203843925450201,0.6106674375667354,0.0008965449232648996,0.029942360014950386,0.6197788648319147
