system,run,n_unique,n_unique_phys,p_phys,top1
pb2,1,1377,102,0.4786,0.3407
pb2,2,1420,99,0.4731,0.3341
pb2,3,1456,114,0.4788,0.3465
pb2,4,1342,100,0.4908,0.3518
pb2,5,1326,107,0.4844,0.3678
pb2,6,1383,109,0.4833,0.352
pb2,7,1434,104,0.4683,0.3326
pb2,8,1321,115,0.4941,0.3552
pb2,9,1399,98,0.4787,0.3468
pb2,10,1390,108,0.4837,0.3463
pb3,1,5161,324,0.2113,0.1105
pb3,2,5023,312,0.2155,0.1185
pb3,3,5341,376,0.1969,0.0848
pb3,4,5042,333,0.2116,0.1106
pb3,5,5883,414,0.1213,0.032
pb3,6,4800,319,0.2702,0.1658
pb3,7,5289,340,0.1881,0.0873
pb3,8,4891,320,0.2496,0.1422
pb3,9,5059,336,0.2337,0.1311
pb3,10,5153,384,0.2107,0.068
pb4,1,8358,507,0.1072,0.0322
pb4,2,8505,513,0.1046,0.0286
pb4,3,8255,493,0.1112,0.0372
pb4,4,8352,488,0.1039,0.0307
pb4,5,8493,539,0.1091,0.0308
pb4,6,8312,499,0.1082,0.032
pb4,7,8223,458,0.1108,0.039
pb4,8,8452,462,0.1007,0.0336
pb4,9,8285,466,0.1124,0.0387
pb4,10,8524,471,0.102,0.0316
