system,run,E_standard,err_standard,E_en,err_en
pb2,1,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,2,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,3,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,4,-4317.381130523617,4.886078386334702e-07,-4317.381131012585,3.601599019020796e-10
pb2,5,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,6,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,7,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,8,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,9,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb2,10,-4317.381131012638,4.1382008930668235e-10,-4317.381131012585,3.601599019020796e-10
pb3,1,-6279.878951629805,3.301614378869999e-05,-6279.878984120884,5.250649337540381e-07
pb3,2,-6279.878952505428,3.214052048861049e-05,-6279.878983876449,7.694998203078285e-07
pb3,3,-6279.878955792847,2.8853101866843645e-05,-6279.878984002951,6.429972927435301e-07
pb3,4,-6279.878952719095,3.192685380781768e-05,-6279.878983814857,8.31091711006593e-07
pb3,5,-6279.878957918883,2.6727065232989844e-05,-6279.878983830293,8.156557669281028e-07
pb3,6,-6279.8789426158455,4.20301030317205e-05,-6279.878983942723,7.03225850884337e-07
pb3,7,-6279.878941127017,4.3518931306607556e-05,-6279.878984024534,6.214149834704585e-07
pb3,8,-6279.878948995675,3.5650273275678046e-05,-6279.8789838930525,7.528960850322619e-07
pb3,9,-6279.878957779448,2.6866500775213353e-05,-6279.87898382852,8.174283721018583e-07
pb3,10,-6279.878956205293,2.844065511453664e-05,-6279.878983757534,8.884144335752353e-07
pb4,1,-7850.031309325279,0.00022386999808077235,-7850.031528118923,5.076353772892617e-06
pb4,2,-7850.031314184274,0.00021901100262766704,-7850.031528150128,5.0451490096747875e-06
pb4,3,-7850.031335160983,0.00019803429404419148,-7850.031528349504,4.845773219130933e-06
pb4,4,-7850.031359883514,0.0001733117633193615,-7850.0315280051545,5.190122465137392e-06
pb4,5,-7850.031334752924,0.00019844235339405714,-7850.031528197874,4.997403266315814e-06
pb4,6,-7850.031302620812,0.00023057446469465503,-7850.031528105383,5.089894330012612e-06
pb4,7,-7850.031318250173,0.00021494510383490706,-7850.031528127936,5.067340680398047e-06
pb4,8,-7850.031286797262,0.00024639801540615736,-7850.0315278278795,5.367397534428164e-06
pb4,9,-7850.031334394545,0.00019880073159583844,-7850.031528418199,4.777078174811322e-06
pb4,10,-7850.031364375162,0.00016882011459529167,-7850.031528087265,5.1080123739666305e-06
