system,run,iter,err_standard,err_en
pb2,1,1,1.1784412890847307e-05,3.601599019020796e-10
pb2,1,2,5.186338967178017e-07,3.601599019020796e-10
pb2,1,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,1,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,1,1.6241997400356922e-05,0.0007177578891059966
pb2,2,2,5.376005901780445e-06,3.601599019020796e-10
pb2,2,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,16,4.1382008930668235e-10,3.601599019020796e-10
